Facility_Name,Ministry_Market,Ministry,Address_1,Address_2,City,State,Zip_Code,Phone_Number,County,Facility_Type,Business_Entity,Facility_Status
Saint Thomas Medical Partners - Mt. Juliet - Sleep Medicine,Ascension Tennessee,TNNAS,108 PROVIDENCE TRAIL,NULL,MT. JULIET,TN,37122,615-466-0041,WILSON,Outpatient Clinic,Ascension Medical Group,ACTIVE
Saint Thomas Medical Partners - Mt. Juliet - Primary Care,Ascension Tennessee,TNNAS,108 PROVIDENCE TRAIL,NULL,MT. JULIET,TN,37122,615-466-0041,WILSON,Outpatient Clinic,Ascension Medical Group,ACTIVE
Saint Thomas Medical Partners - Mt. Juliet - Pulmonology,Ascension Tennessee,TNNAS,108 PROVIDENCE TRAIL,NULL,MT. JULIET,TN,37122,615-466-0041,WILSON,Outpatient Clinic,Ascension Medical Group,ACTIVE
Saint Thomas Medical Partners - Mt. Juliet - Saint Thomas Heart,Ascension Tennessee,TNNAS,108 PROVIDENCE TRAIL,NULL,MT. JULIET,TN,37122,800-345-5016,WILSON,Outpatient Clinic,Ascension Medical Group,ACTIVE
Saint Thomas Medical Partners - Mt. Juliet - Osteopathic Manipulative Therapy,Ascension Tennessee,TNNAS,108 PROVIDENCE TRAIL,NULL,MT. JULIET,TN,37122,615-466-0041,NULL,Outpatient Clinic,Ascension Medical Group,ACTIVE
Saint Thomas Medical Partners - Mt. Juliet - Physical Therapy,Ascension Tennessee,TNNAS,108 PROVIDENCE TRAIL,NULL,MT. JULIET,TN,37122,615-553-9761,NULL,Outpatient Clinic,Ascension Medical Group,ACTIVE
Saint Thomas Heart - Lewisburg,Ascension Tennessee,TNNAS,1080 NORTH ELLINGTON PARKWAY,NULL,LEWISBURG,TN,37091,800-345-5016,MARSHALL,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Medical Group - St. Vincent - Michigan Road Pediatrics,Ascension Indiana,ININD,10801 NORTH MICHIGAN ROAD,SUITE 100,ZIONSVILLE,IN,46077,317-344-1234,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension Medical Group - St. Vincent - Michigan Road Primary Care,Ascension Indiana,ININD,10801 NORTH MICHIGAN ROAD,NULL,ZIONSVILLE,IN,46077,317-344-1234,NULL,Outpatient Clinic,NULL,ACTIVE
Sleep Center of the Coast,Ascension Alabama,ALMOB,109 EAST FERN AVE,NULL,FOLEY,AL,36535,251-943-7800,MOBILE,Outpatient Clinic,Ascension Enterprise,ACTIVE
Ascension Columbia St. Mary's Milwaukee at Columbia West - Outpatient Rehabilitation,NULL,WIMIL,10950 W. CAPITOL DR.,NULL,WAUWATOSA,WI,53222,414-464-4460,MILWAUKEE,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension St. Joseph Hospital Orthopedic Walk-In Clinic,Ascension Michigan,MITAW,110 BEECH STREET,NULL,TAWAS CITY,MI,48764,989-362-1015,IOSCO,Outpatient Clinic,Ascension Enterprise,ACTIVE
Saint Thomas Heart - Waverly - Hillwood Drive,Ascension Tennessee,TNNAS,110 HILLWOOD DRIVE,NULL,WAVERLY,TN,37185,615-329-5144,NULL,Outpatient Clinic,Ascension Medical Group,ACTIVE
Saint Thomas Medical Partners - Sumner Medical Group - Gallatin - Saint Blaise Road,Ascension Tennessee,TNNAS,110 SAINT BLAISE ROAD,NULL,GALLATIN,TN,37066,615-230-8070,SUMNER,Outpatient Clinic,Ascension Medical Group,ACTIVE
Saint Thomas Medical Partners - Gallatin - Saint Blaise Road - Center for Sleep,Ascension Tennessee,TNNAS,110 SAINT BLAISE ROAD,NULL,GALLATIN,TN,37066,615-284-7537,NULL,Outpatient Clinic,Ascension Enterprise,ACTIVE
Saint Thomas Medical Partners - Gallatin - Saint Blaise Road - Primary Care,Ascension Tennessee,TNNAS,110 SAINT BLAISE ROAD,NULL,GALLATIN,TN,37066,615-230-8070,NULL,Outpatient Clinic,Ascension Medical Group,ACTIVE
Saint Thomas Medical Partners - Gallatin - Saint Blaise Road - Walk-In Care,Ascension Tennessee,TNNAS,110 SAINT BLAISE ROAD,NULL,GALLATIN,TN,37066,615-230-8070,NULL,Outpatient Clinic,Ascension Medical Group,ACTIVE
Saint Thomas Medical Partners - Gallatin - Saint Blaise Road - Neurogsurgery,Ascension Tennessee,TNNAS,110 SAINT BLAISE ROAD,NULL,GALLATIN,TN,37066,615-327-9543,NULL,Outpatient Clinic,Ascension Medical Group,ACTIVE
Saint Thomas Heart - Gallatin - Saint Blaise Road,Ascension Tennessee,TNNAS,110 SAINT BLAISE ROAD,NULL,GALLATIN,TN,37066,800-345-5016,NULL,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Medical Group - St. Vincent - Logansport Heart Care,Ascension Indiana,ININD,1101 MICHIGAN AVENUE,SUITE 50,LOGANSPORT,IN,46947,574-735-3017,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension Medical Group - St. Vincent - Logansport Neurology,Ascension Indiana,ININD,1101 MICHIGAN AVENUE,NULL,LOGANSPORT,IN,46947,317-249-0990,WABASH,Outpatient Clinic,Ascension Medical Group,ACTIVE
Cardiac Therapy Pulmonary Rehabilitation Therapy,Ascension Michigan,MIROC,1101 WEST UNIVERSITY DRIVE,NULL,ROCHESTER HILLS,MI,48307,248-652-5259,OAKLAND,Outpatient Clinic,Ascension Enterprise,ACTIVE
Ascension Providence Rochester Hospital Sleep Center,Ascension Michigan,MIROC,1101 WEST UNIVERSITY DRIVE,NULL,ROCHESTER HILLS,MI,48307,248-652-5078,NULL,Outpatient Clinic,Ascension Enterprise,ACTIVE
Ascension Michigan at Work - Rochester,Ascension Michigan,MIROC,1101 WEST UNIVERSITY DRIVE,NULL,ROCHESTER HILLS,MI,48307,248-652-5203,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension Medical Group MGA OB/Gyn,Ascension Michigan,MIDET,11012 EAST 13 MILE ROAD,SUITE 212,WARREN,MI,48093,586-582-7150,NULL,Outpatient Clinic,NULL,ACTIVE
Fairfield Medicine,Ascension Connecticut,CTBRI,111 BEACH RD,NULL,FAIRFIELD,CT,6824,203-696-3560,FAIRFIELD,Outpatient Clinic,Ascension Medical Group,ACTIVE
Fairfield Primary Health Care,Ascension Connecticut,CTBRI,111 BEACH RD,NULL,FAIRFIELD,CT,6824,203-255-2340,FAIRFIELD,Outpatient Clinic,Ascension Medical Group,ACTIVE
Ascension Medical Group - St. Vincent - Avon Cardiology,Ascension Indiana,ININD,1115 RONALD REAGAN PARKWAY,SUITE 329,AVON,IN,46123,317-944-9800,HENDRICKS,Outpatient Clinic,Ascension Medical Group,ACTIVE
Mid-State Gastroenterology,Ascension Tennessee,TNNAS,1115B DOW STREET,NULL,MURFREESBORO,TN,37130,615-896-6996,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension Borgess at FireKeepers,Ascension Michigan,MIKAL,11177 EAST MICHIGAN AVENUE,NULL,BATTLE CREEK,MI,49014,269-660-5782,NULL,Outpatient Clinic,NULL,ACTIVE
Ascension St John Hospital Cancer Center Genetics at 12 Mile,Ascension Michigan,MIDET,11185 EAST 12 MILE ROAD,SUITE 100A,WARREN,MI,48093,313-647-3153,NULL,Outpatient Clinic,Ascension Enterprise,ACTIVE
Ascension All Saints at Union Grove,Ascension Wisconsin,WIGLE,1120 MAIN STREET,NULL,UNION GROVE,WI,53182,262-878-4424,RACINE,Outpatient Clinic,Ascension Medical Group,ACTIVE
